0: frame-1
image_size:	1080x1920
108: frame-109
image_size:	1080x1920
109: frame-110
image_size:	1080x1920
110: frame-111
image_size:	1080x1920
111: frame-112
image_size:	1080x1920
112: frame-113
image_size:	1080x1920
113: frame-114
image_size:	1080x1920
114: frame-115
image_size:	1080x1920
115: frame-116
image_size:	1080x1920
116: frame-117
image_size:	1080x1920
117: frame-118
image_size:	1080x1920
118: frame-119
image_size:	1080x1920
119: frame-120
image_size:	1080x1920
120: frame-121
image_size:	1080x1920
121: frame-122
image_size:	1080x1920
122: frame-123
image_size:	1080x1920
123: frame-124
image_size:	1080x1920
124: frame-125
image_size:	1080x1920
125: frame-126
image_size:	1080x1920
126: frame-127
image_size:	1080x1920
127: frame-128
image_size:	1080x1920
128: frame-129
image_size:	1080x1920
129: frame-130
image_size:	1080x1920
130: frame-131
image_size:	1080x1920
131: frame-132
image_size:	1080x1920
132: frame-133
image_size:	1080x1920
133: frame-134
image_size:	1080x1920
134: frame-135
image_size:	1080x1920
135: frame-136
image_size:	1080x1920
136: frame-137
image_size:	1080x1920
137: frame-138
image_size:	1080x1920
138: frame-139
image_size:	1080x1920
139: frame-140
image_size:	1080x1920
140: frame-141
image_size:	1080x1920
141: frame-142
image_size:	1080x1920
142: frame-143
image_size:	1080x1920
143: frame-144
image_size:	1080x1920
144: frame-145
image_size:	1080x1920
145: frame-146
image_size:	1080x1920
146: frame-147
image_size:	1080x1920
147: frame-148
image_size:	1080x1920
148: frame-149
image_size:	1080x1920
149: frame-150
image_size:	1080x1920
150: frame-151
image_size:	1080x1920
151: frame-152
image_size:	1080x1920
152: frame-153
image_size:	1080x1920
153: frame-154
image_size:	1080x1920
154: frame-155
image_size:	1080x1920
155: frame-156
image_size:	1080x1920
156: frame-157
image_size:	1080x1920
157: frame-158
image_size:	1080x1920
158: frame-159
image_size:	1080x1920
159: frame-160
image_size:	1080x1920
160: frame-161
image_size:	1080x1920
161: frame-162
image_size:	1080x1920
162: frame-163
image_size:	1080x1920
163: frame-164
image_size:	1080x1920
164: frame-165
image_size:	1080x1920
165: frame-166
image_size:	1080x1920
166: frame-167
image_size:	1080x1920
167: frame-168
image_size:	1080x1920
168: frame-169
image_size:	1080x1920
169: frame-170
image_size:	1080x1920
170: frame-171
image_size:	1080x1920
171: frame-172
image_size:	1080x1920
172: frame-173
image_size:	1080x1920
173: frame-174
image_size:	1080x1920
174: frame-175
image_size:	1080x1920
175: frame-176
image_size:	1080x1920
176: frame-177
image_size:	1080x1920
177: frame-178
image_size:	1080x1920
178: frame-179
image_size:	1080x1920
179: frame-180
image_size:	1080x1920
180: frame-181
image_size:	1080x1920
181: frame-182
image_size:	1080x1920
182: frame-183
image_size:	1080x1920
183: frame-184
image_size:	1080x1920
184: frame-185
image_size:	1080x1920
185: frame-186
image_size:	1080x1920
186: frame-187
image_size:	1080x1920
187: frame-188
image_size:	1080x1920
188: frame-189
image_size:	1080x1920
189: frame-190
image_size:	1080x1920
190: frame-191
image_size:	1080x1920
191: frame-192
image_size:	1080x1920
192: frame-193
image_size:	1080x1920
193: frame-194
image_size:	1080x1920
194: frame-195
image_size:	1080x1920
195: frame-196
image_size:	1080x1920
196: frame-197
image_size:	1080x1920
197: frame-198
image_size:	1080x1920
198: frame-199
image_size:	1080x1920
199: frame-200
image_size:	1080x1920
200: frame-201
image_size:	1080x1920
201: frame-202
image_size:	1080x1920
202: frame-203
image_size:	1080x1920
203: frame-204
image_size:	1080x1920
204: frame-205
image_size:	1080x1920
205: frame-206
image_size:	1080x1920
206: frame-207
image_size:	1080x1920
207: frame-208
image_size:	1080x1920
208: frame-209
image_size:	1080x1920
209: frame-210
image_size:	1080x1920
210: frame-211
image_size:	1080x1920
211: frame-212
image_size:	1080x1920
212: frame-213
image_size:	1080x1920
213: frame-214
image_size:	1080x1920
214: frame-215
image_size:	1080x1920
215: frame-216
image_size:	1080x1920
216: frame-217
image_size:	1080x1920
217: frame-218
image_size:	1080x1920
218: frame-219
image_size:	1080x1920
219: frame-220
image_size:	1080x1920
220: frame-221
image_size:	1080x1920
221: frame-222
image_size:	1080x1920
222: frame-223
image_size:	1080x1920
223: frame-224
image_size:	1080x1920
224: frame-225
image_size:	1080x1920
225: frame-226
image_size:	1080x1920
226: frame-227
image_size:	1080x1920
227: frame-228
image_size:	1080x1920
228: frame-229
image_size:	1080x1920
229: frame-230
image_size:	1080x1920
230: frame-231
image_size:	1080x1920
231: frame-232
image_size:	1080x1920
232: frame-233
image_size:	1080x1920
233: frame-234
image_size:	1080x1920
234: frame-235
image_size:	1080x1920
235: frame-236
image_size:	1080x1920
236: frame-237
image_size:	1080x1920
237: frame-238
image_size:	1080x1920
238: frame-239
image_size:	1080x1920
239: frame-240
image_size:	1080x1920
240: frame-241
image_size:	1080x1920
241: frame-242
image_size:	1080x1920
242: frame-243
image_size:	1080x1920
243: frame-244
image_size:	1080x1920
244: frame-245
image_size:	1080x1920
245: frame-246
image_size:	1080x1920
246: frame-247
image_size:	1080x1920
247: frame-248
image_size:	1080x1920
248: frame-249
image_size:	1080x1920
249: frame-250
image_size:	1080x1920
250: frame-251
image_size:	1080x1920
251: frame-252
image_size:	1080x1920
252: frame-253
image_size:	1080x1920
253: frame-254
image_size:	1080x1920
254: frame-255
image_size:	1080x1920
255: frame-256
image_size:	1080x1920
256: frame-257
image_size:	1080x1920
257: frame-258
image_size:	1080x1920
258: frame-259
image_size:	1080x1920
259: frame-260
image_size:	1080x1920
260: frame-261
image_size:	1080x1920
261: frame-262
image_size:	1080x1920
262: frame-263
image_size:	1080x1920
263: frame-264
image_size:	1080x1920
264: frame-265
image_size:	1080x1920
265: frame-266
image_size:	1080x1920
266: frame-267
image_size:	1080x1920
267: frame-268
image_size:	1080x1920
268: frame-269
image_size:	1080x1920
269: frame-270
image_size:	1080x1920
270: frame-271
image_size:	1080x1920
271: frame-272
image_size:	1080x1920
272: frame-273
image_size:	1080x1920
273: frame-274
image_size:	1080x1920
274: frame-275
image_size:	1080x1920
275: frame-276
image_size:	1080x1920
276: frame-277
image_size:	1080x1920
277: frame-278
image_size:	1080x1920
278: frame-279
image_size:	1080x1920
279: frame-280
image_size:	1080x1920
280: frame-281
image_size:	1080x1920
281: frame-282
image_size:	1080x1920
282: frame-283
image_size:	1080x1920
283: frame-284
image_size:	1080x1920
284: frame-285
image_size:	1080x1920
285: frame-286
image_size:	1080x1920
286: frame-287
image_size:	1080x1920
287: frame-288
image_size:	1080x1920
288: frame-289
image_size:	1080x1920
289: frame-290
image_size:	1080x1920
290: frame-291
image_size:	1080x1920
291: frame-292
image_size:	1080x1920
292: frame-293
image_size:	1080x1920
293: frame-294
image_size:	1080x1920
294: frame-295
image_size:	1080x1920
295: frame-296
image_size:	1080x1920
296: frame-297
image_size:	1080x1920
297: frame-298
image_size:	1080x1920
298: frame-299
image_size:	1080x1920
299: frame-300
image_size:	1080x1920
300: frame-301
image_size:	1080x1920
301: frame-302
image_size:	1080x1920
302: frame-303
image_size:	1080x1920
303: frame-304
image_size:	1080x1920
**************************************
Change the number of pixel-loaded images by 
modifying param_visual_data_budget in nv.ini
Use the PAUSE button to skip the pixel loading
**************************************
Loading image pixel data ...done in 13s

Compute Missing Pairwise Matching, begin...
********* WARNING ***********
More than 189MB of graphic memory may be allocated
under the default settings. If the program halts here,
adjust parameters to save memory and rerun the task: 
    [Tools->Enable GPU->Set Maximum DIM]
Note some octaves may be automatically skipped
SIFT: 0000, 1080x1920, 	512, 0.77sec
SIFT: 0001, 1080x1920, 	434, 0.11sec
SIFT: 0002, 1080x1920, 	438, 0.11sec
SIFT: 0003, 1080x1920, 	420, 0.11sec
SIFT: 0004, 1080x1920, 	423, 0.11sec
SIFT: 0005, 1080x1920, 	430, 0.11sec
SIFT: 0006, 1080x1920, 	412, 0.13sec
SIFT: 0007, 1080x1920, 	419, 0.11sec
SIFT: 0008, 1080x1920, 	435, 0.12sec
SIFT: 0009, 1080x1920, 	456, 0.11sec
SIFT: 0010, 1080x1920, 	459, 0.11sec
SIFT: 0011, 1080x1920, 	452, 0.11sec
SIFT: 0012, 1080x1920, 	458, 0.11sec
SIFT: 0013, 1080x1920, 	426, 0.11sec
SIFT: 0014, 1080x1920, 	428, 0.12sec
SIFT: 0015, 1080x1920, 	445, 0.11sec
SIFT: 0016, 1080x1920, 	452, 0.11sec
SIFT: 0017, 1080x1920, 	428, 0.11sec
SIFT: 0018, 1080x1920, 	397, 0.12sec
SIFT: 0019, 1080x1920, 	401, 0.11sec
SIFT: 0020, 1080x1920, 	401, 0.11sec
SIFT: 0021, 1080x1920, 	419, 0.11sec
SIFT: 0022, 1080x1920, 	419, 0.11sec
SIFT: 0023, 1080x1920, 	413, 0.11sec
SIFT: 0024, 1080x1920, 	400, 0.12sec
SIFT: 0025, 1080x1920, 	413, 0.11sec
SIFT: 0026, 1080x1920, 	403, 0.11sec
SIFT: 0027, 1080x1920, 	414, 0.11sec
SIFT: 0028, 1080x1920, 	390, 0.11sec
SIFT: 0029, 1080x1920, 	406, 0.11sec
SIFT: 0030, 1080x1920, 	445, 0.11sec
SIFT: 0031, 1080x1920, 	387, 0.11sec
SIFT: 0032, 1080x1920, 	423, 0.11sec
SIFT: 0033, 1080x1920, 	399, 0.11sec
SIFT: 0034, 1080x1920, 	427, 0.11sec
SIFT: 0035, 1080x1920, 	388, 0.11sec
SIFT: 0036, 1080x1920, 	405, 0.11sec
SIFT: 0037, 1080x1920, 	387, 0.11sec
SIFT: 0038, 1080x1920, 	370, 0.12sec
SIFT: 0039, 1080x1920, 	397, 0.11sec
SIFT: 0040, 1080x1920, 	405, 0.11sec
SIFT: 0041, 1080x1920, 	360, 0.12sec
SIFT: 0042, 1080x1920, 	386, 0.11sec
SIFT: 0043, 1080x1920, 	370, 0.10sec
SIFT: 0044, 1080x1920, 	370, 0.11sec
SIFT: 0045, 1080x1920, 	387, 0.11sec
SIFT: 0046, 1080x1920, 	411, 0.11sec
SIFT: 0047, 1080x1920, 	394, 0.12sec
SIFT: 0048, 1080x1920, 	398, 0.12sec
SIFT: 0049, 1080x1920, 	397, 0.10sec
SIFT: 0050, 1080x1920, 	392, 0.11sec
SIFT: 0051, 1080x1920, 	408, 0.11sec
SIFT: 0052, 1080x1920, 	395, 0.11sec
SIFT: 0053, 1080x1920, 	422, 0.10sec
SIFT: 0054, 1080x1920, 	403, 0.11sec
SIFT: 0055, 1080x1920, 	396, 0.11sec
SIFT: 0056, 1080x1920, 	397, 0.11sec
SIFT: 0057, 1080x1920, 	392, 0.11sec
SIFT: 0058, 1080x1920, 	338, 0.11sec
SIFT: 0059, 1080x1920, 	314, 0.11sec
SIFT: 0060, 1080x1920, 	306, 0.11sec
SIFT: 0061, 1080x1920, 	320, 0.11sec
SIFT: 0062, 1080x1920, 	340, 0.13sec
SIFT: 0063, 1080x1920, 	352, 0.11sec
SIFT: 0064, 1080x1920, 	376, 0.10sec
SIFT: 0065, 1080x1920, 	382, 0.11sec
SIFT: 0066, 1080x1920, 	367, 0.10sec
SIFT: 0067, 1080x1920, 	386, 0.10sec
SIFT: 0068, 1080x1920, 	373, 0.11sec
SIFT: 0069, 1080x1920, 	372, 0.11sec
SIFT: 0070, 1080x1920, 	364, 0.11sec
SIFT: 0071, 1080x1920, 	328, 0.10sec
SIFT: 0072, 1080x1920, 	334, 0.10sec
SIFT: 0073, 1080x1920, 	344, 0.11sec
SIFT: 0074, 1080x1920, 	315, 0.11sec
SIFT: 0075, 1080x1920, 	323, 0.11sec
SIFT: 0076, 1080x1920, 	328, 0.11sec
SIFT: 0077, 1080x1920, 	350, 0.12sec
SIFT: 0078, 1080x1920, 	334, 0.12sec
SIFT: 0079, 1080x1920, 	345, 0.11sec
SIFT: 0080, 1080x1920, 	340, 0.11sec
SIFT: 0081, 1080x1920, 	318, 0.11sec
SIFT: 0082, 1080x1920, 	322, 0.11sec
SIFT: 0083, 1080x1920, 	310, 0.11sec
SIFT: 0084, 1080x1920, 	304, 0.10sec
SIFT: 0085, 1080x1920, 	291, 0.11sec
SIFT: 0086, 1080x1920, 	242, 0.10sec
SIFT: 0087, 1080x1920, 	290, 0.10sec
SIFT: 0088, 1080x1920, 	269, 0.11sec
SIFT: 0089, 1080x1920, 	270, 0.11sec
SIFT: 0090, 1080x1920, 	304, 0.10sec
SIFT: 0091, 1080x1920, 	287, 0.11sec
SIFT: 0092, 1080x1920, 	269, 0.11sec
SIFT: 0093, 1080x1920, 	314, 0.11sec
SIFT: 0094, 1080x1920, 	301, 0.11sec
SIFT: 0095, 1080x1920, 	312, 0.10sec
SIFT: 0096, 1080x1920, 	316, 0.11sec
SIFT: 0097, 1080x1920, 	300, 0.10sec
SIFT: 0098, 1080x1920, 	281, 0.11sec
SIFT: 0099, 1080x1920, 	284, 0.11sec
SIFT: 0100, 1080x1920, 	285, 0.11sec
SIFT: 0101, 1080x1920, 	285, 0.11sec
SIFT: 0102, 1080x1920, 	307, 0.10sec
SIFT: 0103, 1080x1920, 	329, 0.11sec
SIFT: 0104, 1080x1920, 	329, 0.11sec
SIFT: 0105, 1080x1920, 	342, 0.11sec
SIFT: 0106, 1080x1920, 	339, 0.12sec
SIFT: 0107, 1080x1920, 	358, 0.11sec
SIFT: 0108, 1080x1920, 	381, 0.11sec
SIFT: 0109, 1080x1920, 	383, 0.12sec
SIFT: 0110, 1080x1920, 	407, 0.11sec
SIFT: 0111, 1080x1920, 	339, 0.11sec
SIFT: 0112, 1080x1920, 	341, 0.13sec
SIFT: 0113, 1080x1920, 	351, 0.13sec
SIFT: 0114, 1080x1920, 	338, 0.12sec
SIFT: 0115, 1080x1920, 	350, 0.11sec
SIFT: 0116, 1080x1920, 	348, 0.11sec
SIFT: 0117, 1080x1920, 	356, 0.11sec
SIFT: 0118, 1080x1920, 	321, 0.10sec
SIFT: 0119, 1080x1920, 	295, 0.10sec
SIFT: 0120, 1080x1920, 	284, 0.11sec
SIFT: 0121, 1080x1920, 	265, 0.12sec
SIFT: 0122, 1080x1920, 	277, 0.11sec
SIFT: 0123, 1080x1920, 	268, 0.12sec
SIFT: 0124, 1080x1920, 	265, 0.11sec
SIFT: 0125, 1080x1920, 	277, 0.10sec
SIFT: 0126, 1080x1920, 	256, 0.11sec
SIFT: 0127, 1080x1920, 	245, 0.10sec
SIFT: 0128, 1080x1920, 	220, 0.10sec
SIFT: 0129, 1080x1920, 	237, 0.11sec
SIFT: 0130, 1080x1920, 	308, 0.14sec
SIFT: 0131, 1080x1920, 	416, 0.12sec
SIFT: 0132, 1080x1920, 	408, 0.12sec
SIFT: 0133, 1080x1920, 	415, 0.13sec
SIFT: 0134, 1080x1920, 	415, 0.13sec
SIFT: 0135, 1080x1920, 	405, 0.12sec
SIFT: 0136, 1080x1920, 	432, 0.11sec
SIFT: 0137, 1080x1920, 	450, 0.11sec
SIFT: 0138, 1080x1920, 	455, 0.11sec
SIFT: 0139, 1080x1920, 	461, 0.11sec
SIFT: 0140, 1080x1920, 	442, 0.11sec
SIFT: 0141, 1080x1920, 	437, 0.11sec
SIFT: 0142, 1080x1920, 	398, 0.11sec
SIFT: 0143, 1080x1920, 	372, 0.10sec
SIFT: 0144, 1080x1920, 	368, 0.11sec
SIFT: 0145, 1080x1920, 	354, 0.11sec
SIFT: 0146, 1080x1920, 	379, 0.10sec
SIFT: 0147, 1080x1920, 	375, 0.11sec
SIFT: 0148, 1080x1920, 	405, 0.10sec
SIFT: 0149, 1080x1920, 	426, 0.11sec
SIFT: 0150, 1080x1920, 	430, 0.12sec
SIFT: 0151, 1080x1920, 	415, 0.11sec
SIFT: 0152, 1080x1920, 	389, 0.11sec
SIFT: 0153, 1080x1920, 	388, 0.10sec
SIFT: 0154, 1080x1920, 	435, 0.11sec
SIFT: 0155, 1080x1920, 	414, 0.11sec
SIFT: 0156, 1080x1920, 	451, 0.11sec
SIFT: 0157, 1080x1920, 	452, 0.11sec
SIFT: 0158, 1080x1920, 	453, 0.11sec
SIFT: 0159, 1080x1920, 	447, 0.11sec
SIFT: 0160, 1080x1920, 	471, 0.11sec
SIFT: 0161, 1080x1920, 	463, 0.10sec
SIFT: 0162, 1080x1920, 	507, 0.11sec
SIFT: 0163, 1080x1920, 	467, 0.11sec
SIFT: 0164, 1080x1920, 	464, 0.11sec
SIFT: 0165, 1080x1920, 	446, 0.12sec
SIFT: 0166, 1080x1920, 	476, 0.11sec
SIFT: 0167, 1080x1920, 	447, 0.11sec
SIFT: 0168, 1080x1920, 	486, 0.11sec
SIFT: 0169, 1080x1920, 	454, 0.10sec
SIFT: 0170, 1080x1920, 	451, 0.11sec
SIFT: 0171, 1080x1920, 	484, 0.11sec
SIFT: 0172, 1080x1920, 	507, 0.11sec
SIFT: 0173, 1080x1920, 	490, 0.11sec
SIFT: 0174, 1080x1920, 	503, 0.11sec
SIFT: 0175, 1080x1920, 	521, 0.11sec
SIFT: 0176, 1080x1920, 	481, 0.11sec
SIFT: 0177, 1080x1920, 	513, 0.11sec
SIFT: 0178, 1080x1920, 	526, 0.10sec
SIFT: 0179, 1080x1920, 	491, 0.11sec
SIFT: 0180, 1080x1920, 	503, 0.11sec
SIFT: 0181, 1080x1920, 	538, 0.11sec
SIFT: 0182, 1080x1920, 	510, 0.11sec
SIFT: 0183, 1080x1920, 	545, 0.11sec
SIFT: 0184, 1080x1920, 	492, 0.11sec
SIFT: 0185, 1080x1920, 	520, 0.11sec
SIFT: 0186, 1080x1920, 	512, 0.10sec
SIFT: 0187, 1080x1920, 	546, 0.10sec
SIFT: 0188, 1080x1920, 	552, 0.10sec
SIFT: 0189, 1080x1920, 	525, 0.11sec
SIFT: 0190, 1080x1920, 	561, 0.11sec
SIFT: 0191, 1080x1920, 	589, 0.11sec
SIFT: 0192, 1080x1920, 	574, 0.11sec
SIFT: 0193, 1080x1920, 	552, 0.11sec
SIFT: 0194, 1080x1920, 	594, 0.11sec
SIFT: 0195, 1080x1920, 	537, 0.10sec
SIFT: 0196, 1080x1920, 	540, 0.12sec
SIFT: 0197, 1080x1920, 	517, 0.10sec
SIFT: 0198, 1080x1920, 	514, 0.11sec
SIFT: 0199, 1080x1920, 	538, 0.10sec
SIFT: 0200, 1080x1920, 	531, 0.11sec
SIFT: 0201, 1080x1920, 	565, 0.11sec
SIFT: 0202, 1080x1920, 	567, 0.11sec
SIFT: 0203, 1080x1920, 	587, 0.11sec
SIFT: 0204, 1080x1920, 	595, 0.11sec
SIFT: 0205, 1080x1920, 	602, 0.11sec
SIFT: 0206, 1080x1920, 	579, 0.11sec
SIFT: 0207, 1080x1920, 	570, 0.11sec
SIFT: 0208, 1080x1920, 	564, 0.11sec
SIFT: 0209, 1080x1920, 	543, 0.11sec
SIFT: 0210, 1080x1920, 	564, 0.11sec
SIFT: 0211, 1080x1920, 	543, 0.11sec
SIFT: 0212, 1080x1920, 	582, 0.14sec
SIFT: 0213, 1080x1920, 	517, 0.10sec
SIFT: 0214, 1080x1920, 	496, 0.10sec
SIFT: 0215, 1080x1920, 	452, 0.10sec
SIFT: 0216, 1080x1920, 	427, 0.10sec
SIFT: 0217, 1080x1920, 	438, 0.11sec
SIFT: 0218, 1080x1920, 	431, 0.11sec
SIFT: 0219, 1080x1920, 	435, 0.10sec
SIFT: 0220, 1080x1920, 	440, 0.10sec
SIFT: 0221, 1080x1920, 	558, 0.10sec
SIFT: 0222, 1080x1920, 	500, 0.12sec
SIFT: 0223, 1080x1920, 	469, 0.11sec
SIFT: 0224, 1080x1920, 	453, 0.10sec
SIFT: 0225, 1080x1920, 	444, 0.11sec
SIFT: 0226, 1080x1920, 	522, 0.10sec
SIFT: 0227, 1080x1920, 	518, 0.10sec
SIFT: 0228, 1080x1920, 	544, 0.11sec
SIFT: 0229, 1080x1920, 	512, 0.11sec
SIFT: 0230, 1080x1920, 	559, 0.11sec
SIFT: 0231, 1080x1920, 	584, 0.12sec
SIFT: 0232, 1080x1920, 	567, 0.11sec
SIFT: 0233, 1080x1920, 	586, 0.11sec
SIFT: 0234, 1080x1920, 	536, 0.11sec
SIFT: 0235, 1080x1920, 	565, 0.11sec
SIFT: 0236, 1080x1920, 	629, 0.11sec
SIFT: 0237, 1080x1920, 	676, 0.11sec
SIFT: 0238, 1080x1920, 	705, 0.11sec
SIFT: 0239, 1080x1920, 	662, 0.11sec
SIFT: 0240, 1080x1920, 	628, 0.11sec
SIFT: 0241, 1080x1920, 	709, 0.11sec
SIFT: 0242, 1080x1920, 	688, 0.11sec
SIFT: 0243, 1080x1920, 	673, 0.11sec
SIFT: 0244, 1080x1920, 	650, 0.11sec
SIFT: 0245, 1080x1920, 	621, 0.11sec
SIFT: 0246, 1080x1920, 	648, 0.10sec
SIFT: 0247, 1080x1920, 	594, 0.10sec
SIFT: 0248, 1080x1920, 	566, 0.12sec
SIFT: 0249, 1080x1920, 	626, 0.10sec
SIFT: 0250, 1080x1920, 	630, 0.10sec
SIFT: 0251, 1080x1920, 	653, 0.11sec
SIFT: 0252, 1080x1920, 	683, 0.12sec
SIFT: 0253, 1080x1920, 	680, 0.10sec
SIFT: 0254, 1080x1920, 	662, 0.12sec
SIFT: 0255, 1080x1920, 	690, 0.10sec
SIFT: 0256, 1080x1920, 	677, 0.11sec
SIFT: 0257, 1080x1920, 	693, 0.11sec
SIFT: 0258, 1080x1920, 	747, 0.11sec
SIFT: 0259, 1080x1920, 	566, 0.10sec
SIFT: 0260, 1080x1920, 	662, 0.11sec
SIFT: 0261, 1080x1920, 	622, 0.11sec
SIFT: 0262, 1080x1920, 	624, 0.10sec
SIFT: 0263, 1080x1920, 	655, 0.10sec
SIFT: 0264, 1080x1920, 	660, 0.10sec
SIFT: 0265, 1080x1920, 	646, 0.11sec
SIFT: 0266, 1080x1920, 	660, 0.10sec
SIFT: 0267, 1080x1920, 	622, 0.10sec
SIFT: 0268, 1080x1920, 	582, 0.11sec
SIFT: 0269, 1080x1920, 	581, 0.10sec
SIFT: 0270, 1080x1920, 	584, 0.11sec
SIFT: 0271, 1080x1920, 	669, 0.11sec
SIFT: 0272, 1080x1920, 	628, 0.10sec
SIFT: 0273, 1080x1920, 	568, 0.10sec
SIFT: 0274, 1080x1920, 	569, 0.10sec
SIFT: 0275, 1080x1920, 	527, 0.10sec
SIFT: 0276, 1080x1920, 	536, 0.10sec
SIFT: 0277, 1080x1920, 	565, 0.10sec
SIFT: 0278, 1080x1920, 	556, 0.11sec
SIFT: 0279, 1080x1920, 	505, 0.10sec
SIFT: 0280, 1080x1920, 	563, 0.11sec
SIFT: 0281, 1080x1920, 	567, 0.11sec
SIFT: 0282, 1080x1920, 	563, 0.10sec
SIFT: 0283, 1080x1920, 	585, 0.10sec
SIFT: 0284, 1080x1920, 	565, 0.10sec
SIFT: 0285, 1080x1920, 	604, 0.11sec
SIFT: 0286, 1080x1920, 	626, 0.11sec
SIFT: 0287, 1080x1920, 	629, 0.11sec
SIFT: 0288, 1080x1920, 	624, 0.11sec
SIFT: 0289, 1080x1920, 	689, 0.10sec
SIFT: 0290, 1080x1920, 	656, 0.10sec
SIFT: 0291, 1080x1920, 	671, 0.11sec
SIFT: 0292, 1080x1920, 	690, 0.10sec
SIFT: 0293, 1080x1920, 	686, 0.11sec
SIFT: 0294, 1080x1920, 	682, 0.11sec
SIFT: 0295, 1080x1920, 	730, 0.11sec
SIFT: 0296, 1080x1920, 	728, 0.11sec
SIFT: 0297, 1080x1920, 	662, 0.11sec
SIFT: 0298, 1080x1920, 	715, 0.12sec
SIFT: 0299, 1080x1920, 	706, 0.10sec
SIFT: 0300, 1080x1920, 	737, 0.11sec
SIFT: 0301, 1080x1920, 	775, 0.11sec
SIFT: 0302, 1080x1920, 	726, 0.11sec
SIFT: 0303, 1080x1920, 	737, 0.11sec

###########-------timing------#########
304 Feature Detection finished, 37 sec used
#############################

46056 pairs to compute match
NOTE: using 3 matching workers
0001 and 0002: 229 matches, 0.00sec, #1
0000 and 0003: 241 matches, 0.00sec, #2
